"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"385057","63","5",5,"","FIELDING","ST",1,"02","2018"
"385119","1452","38",322,"","21ST","AV",1,"02","2018"
"385157","3731","53",62,"","MOSS","ST",1,"02","2018"
"385213","814","14",150,"","VAN NESS","AV",420,"02","2018"
"385431","1265","19",1236,"","ARGUELLO","BL",2,"02","2018"
"385512","4004","34",1451,"","MARIPOSA","ST",1,"02","2018"
"385561","2828","016A",4466,"","24TH","ST",1,"02","2018"
"385680","299","13",736,"","LEAVENWORTH","ST",2,"02","2018"
"385699","1422","011A",255,"","11TH","AV",1,"02","2018"
"385701","2060","46",1633,"","NORIEGA","ST",1,"02","2018"
"385930","935","7",3134,"A","BRODERICK","ST",1,"02","2018"
"386034","931","13",2544,"","CHESTNUT","ST",1,"02","2018"
"386190","181","13",1042,"","JACKSON","ST",1,"02","2018"
"386191","181","13",1044,"","JACKSON","ST",1,"02","2018"
"386351","633","001E",2646,"","CALIFORNIA","ST",1,"02","2018"
"386352","633","001E",2648,"","CALIFORNIA","ST",1,"02","2018"
"388835","3753","76",272,"","CLARA","ST",2,"01","2015"
"388859","1774","33",1356,"","20TH","AV",1,"01","2015"
"388877","3588","001C",3527,"","18TH","ST",2,"01","2015"
"388943","1807","20",1478,"","47TH","AV",1,"01","2015"
"388946","1381","17",5922,"","CALIFORNIA","ST",1,"01","2015"
"388947","1381","17",5924,"","CALIFORNIA","ST",1,"01","2015"
"388949","3730","67",40,"","RAUSCH","ST",1,"01","2015"
"388950","3730","67",44,"","RAUSCH","ST",1,"01","2015"
"388956","2360","6",2357,"","31ST","AV",1,"01","2015"
"388963","859","13",352,"A","WALLER","ST",1,"01","2015"
"389028","848","6",546,"","HAIGHT","ST",1,"01","2015"
"389050","5327","19",1752,"","QUESADA","AV",1,"01","2015"
"389107","3612","55",748,"","TREAT","AV",2,"01","2015"
"389132","776","43",1480,"","MCALLISTER","ST",1,"01","2015"
"389146","1803","10",1359,"","48TH","AV",1,"01","2015"
"389154","1185","26",1681,"","FULTON","ST",2,"01","2015"
"389353","3731","119",47,"","MOSS","ST",1,"01","2015"
"389354","3731","119",49,"","MOSS","ST",1,"01","2015"
"389400","1710","31",1266,"","41ST","AV",1,"01","2015"
"389423","1282","29",209,"","GRATTAN","ST",1,"01","2015"
"389555","1185","26",1681,"","FULTON","ST",2,"01","2015"
"389582","4271","8",1340,"","ALABAMA","ST",1,"01","2015"
"389654","1201","37",1321,"","GROVE","ST",1,"01","2015"
"389723","141","8",850,"","BATTERY","ST",2,"01","2015"
"389770","6048","2",2724,"","SAN BRUNO","AV",1,"01","2015"
"389865","634","6",33,"","PERINE","PL",2,"01","2015"
"390333","1920","51",1731,"","LAWTON","ST",1,"01","2015"
"390534","3211","010A",270,"","OCEAN","AV",6,"01","2015"
"390546","776","43",1480,"","MCALLISTER","ST",1,"01","2015"
"390621","1754","12",430,"","IRVING","ST",1,"01","2015"
"390622","1754","12",432,"","IRVING","ST",1,"01","2015"
"390769","6014","10",234,"","LONDON","ST",1,"01","2015"
"393616","6517","22",2881,"","MISSION","ST",2,"01","2016"
"393617","6517","22",2883,"","MISSION","ST",2,"01","2016"
"393623","3511","66",35,"","LAFAYETTE","ST",2,"01","2016"
"393624","3511","66",41,"","LAFAYETTE","ST",2,"01","2016"
"393626","3612","017A",785,"","TREAT","AV",1,"01","2016"
"393627","3612","017A",787,"","TREAT","AV",1,"01","2016"
"393651","1444","15",371,"","12TH","AV",1,"01","2016"
"393660","1446","38",350,"","15TH","AV",1,"01","2016"
"393661","7277","44",189,"","COUNTRY CLUB","DR",1,"01","2016"
"393662","7272","43",330,"","COUNTRY CLUB","DR",1,"01","2016"
"393672","693","15",1036,"","POLK","ST",1,"01","2016"
"393684","2872","16",22,"","DAWNVIEW","WY",1,"01","2016"
"393698","1763","27",1366,"","09TH","AV",1,"01","2016"
