"","buyout_amount","address","nhood","long","lat","month","year"
"5034","119,715.00","3479 18th Street","Mission","-122.42115859192066","37.76170508886416","7","2021"
"5037","75,000.00","160 harvard Street","Excelsior","-122.42111130267136","37.72758921866626","9","2017"
"5038","200,000.00","17 States Street","Castro/Upper Market","-122.43577958078268","37.76340996573515","11","2018"
"5039","80,000.00","1927 22nd Avenue","Sunset/Parkside","-122.4795667819637","37.75170069961002","11","2019"
"5040","40,000.00","85 Carr Street","Bayview Hunters Point","-122.39713608481757","37.72123073361271","8","2018"
"5041","","32 Hearst Avenue","West of Twin Peaks","-122.4390752721172","37.730768171131345","3","2017"
"5042","40,000.00","70 Levant Street","Castro/Upper Market","-122.44205846244182","37.76381974772839","5","2021"
"5047","10,000.00","1306 45th Avenue","Sunset/Parkside","-122.50495332010054","37.76214598331355","3","2016"
"5048","40,000.00","1798 Great Highway","Sunset/Parkside","-122.50842364769824","37.75292760202503","1","2022"
"5050","42,500.00","254 Missouri Street","Potrero Hill","-122.3966276836559","37.76316242244619","11","2016"
"5052","6,000.00","438 O’farrell Street","Tenderloin","-122.41202403469255","37.785942420396005","11","2020"
"5058","45,000.00","608 29th Avenue","Outer Richmond","-122.48883831663882","37.77775078107565","8","2019"
"5059","50,000.00","240 Chattanooga Street","Noe Valley","-122.42646434543582","37.75269776713503","3","2022"
"5061","14,500.00","70 Malta Drive","West of Twin Peaks","-122.44430868908107","37.735896934333454","3","2017"
"5069","9,000.00","1467 Waller Street","Haight Ashbury","-122.44791755182926","37.768904084063855","9","2016"
"5071","73,600.00","1754 Mission Street","Mission","-122.42007172949934","37.768933272511205","5","2021"
"5074","13,145.04","646 Lombard Street","North Beach","-122.41218645050016","37.80296790103718","6","2019"
"5075","32,500.00","254 12th Avenue","Inner Richmond","-122.47088671227549","37.783508595300056","1","2017"
"5076","5,000.00","965 Hyde Street","Nob Hill","-122.41718098063664","37.78969421411671","1","2016"
"5078","10,850.82","1871 Page Street","Haight Ashbury","-122.45154430133793","37.77035603843896","12","2020"
"5079","60,000.00","525 40th Avenue","Outer Richmond","-122.5008114132402","37.77883870824438","6","2016"
"5082","122,300.00","31 Highland Avenue","Bernal Heights","-122.42504376236278","37.73754695653596","5","2022"
"5083","70,000.00","1625 Larkin Street","Russian Hill","-122.41950127246794","37.79285311878874","9","2019"
"5084","10,000.00","2088 Broderick Street","Pacific Heights","-122.44242336460405","37.78951137949862","11","2016"
"5086","14,500.00","2920 Gough Street","Marina","-122.4276722111331","37.800240664773234","5","2017"
"5087","24,055.00","1355 Bayshore Boulevard","Bayview Hunters Point","-122.40196616464264","37.72737390910502","5","2016"
"5098","35,000.00","462 22nd Avenue","Outer Richmond","-122.48141116680655","37.77904500514409","12","2016"
"5099","20,000.00","740 rhode island Street","Potrero Hill","-122.40219836040418","37.7604164941743","9","2016"
"5101","40,000.00","1777 Chestnut Street","Marina","-122.43253409725406","37.80126877904243","8","2017"
"5102","9,000.00","1528 Ortega Street","Sunset/Parkside","-122.47992732262325","37.75225090011359","1","2016"
"5107","32,500.00","888 Corbett Avenue","Twin Peaks","-122.44371038733468","37.75296519275508","7","2019"
"5108","100,383.60","1440 Grove Street","Hayes Valley","-122.44036653500122","37.7756573432233","7","2017"
"5110","25,000.00","1467 19th Avenue","Sunset/Parkside","-122.47699807661597","37.76046876819117","1","2022"
"5112","31,556.65","646 04th Avenue","Inner Richmond","-122.46178378275543","37.77645765451439","3","2017"
"5113","4,700.00","535 Taylor Street","Tenderloin","-122.41163703775682","37.78730956795673","6","2020"
"5115","40,000.00","4945 Anza Street","Outer Richmond","-122.50116444267498","37.77739010836963","12","2019"
"5117","4,025.00","735 Green Street","Chinatown","-122.41120527296685","37.799211219474294","10","2020"
"5119","50,000.00","338 20th Avenue","Outer Richmond","-122.47944201927709","37.78150013720534","10","2021"
"5122","100,000.00","502 Church Street","Castro/Upper Market","-122.42854472291228","37.7627769648261","2","2022"
"5123","25,000.00","2830 Bryant Street","Mission","-122.40883269602828","37.74918672783589","6","2022"
"5125","5,500.00","257 Laguna Street","Hayes Valley","-122.42569609715191","37.773414522699476","7","2015"
"5126","5,000.00","144 Girard Street","Portola","-122.4059048425482","37.73042506499954","4","2020"
"5127","50,000.00","1565 Fulton Street","Lone Mountain/USF","-122.44253556303987","37.776281161985295","2","2017"
"5131","75,000.00","1169 york Street","Mission","-122.4082186671091","37.75338418142271","8","2017"
"5138","23,268.00","2319 Funston Avenue","West of Twin Peaks","-122.46930576040329","37.744715389325606","2","2020"
"5142","10,000.00","666 03rd Avenue","Inner Richmond","-122.46068652467314","37.776163103042926","7","2021"
"5143","28,000.00","730 Tennessee Street","Potrero Hill","-122.38973826477448","37.76256367591692","11","2015"
"5144","22,000.00","9 Tioga Avenue","Visitacion Valley","-122.40293103050104","37.715634088235895","10","2021"
"5145","38,000.00","796 Green Street","Chinatown","-122.41217641922547","37.79914325627468","6","2015"
"5149","47,500.00","1394 18th Avenue","Inner Sunset","-122.47591441670423","37.76191219492494","1","2019"
"5152","30,000.00","2278 29th Avenue","Sunset/Parkside","-122.48654500157937","37.74488522814328","10","2018"
"5155","20,000.00","1611 North Point Street","Marina","-122.43378953659716","37.80397882834658","7","2020"
"5157","48,000.00","811 Visitacion Avenue","Visitacion Valley","-122.40721622281369","37.711219856836166","11","2020"
"5158","10,000.00","332 Guerrero Street","Mission","-122.42429997194658","37.765846272589606","12","2020"
"5159","112,000.00","1453 SOUTH VAN NESS Avenue","Mission","-122.4160062417595","37.74993518069267","3","2019"
"5165","35,000.00","721 Rolph Street","Excelsior","-122.43161423770096","37.71177699765518","5","2017"
"5171","7,000.00","479 Naples Street","Excelsior","-122.43091347363708","37.72120683433806","8","2021"
"5174","65,000.00","1366 05th Avenue","Inner Sunset","-122.46192441155175","37.76300842254791","6","2019"
"5175","60,000.00","120 Alpine Terrace","Castro/Upper Market","-122.43751196244699","37.76862211742148","12","2015"
"5178","40,175.63","1810 15TH Street","Mission","-122.4245754227822","37.76641944083295","1","2017"
"5180","30,000.00","1326 Dolores Street","Noe Valley","-122.424935147393","37.74820180331868","4","2019"
"5186","30,000.00","513 06th Avenue","Inner Richmond","-122.46417081974047","37.77879893271599","11","2020"
"5187","50,526.99","2835 Octavia Street","Marina","-122.42903164834824","37.79827669734253","9","2019"
"5188","25,000.00","1201 Vallejo Street","Russian Hill","-122.41715008595257","37.797505490381546","12","2016"
"5193","60,000.00","120 Ellis Street","Tenderloin","-122.4082291970915","37.785477781579594","12","2017"
"5194","156,000.00","811 Oak Street","Haight Ashbury","-122.43273169794179","37.7737027735697","7","2019"
"5197","51,914.60","1784 Dolores Street","Glen Park","-122.42421485679377","37.740676046517066","6","2020"
"5199","2,950.00","875 North Point Street","Russian Hill","-122.4215560759137","37.805537515169526","7","2021"
"5200","52,250.00","591 Wildwood Way","West of Twin Peaks","-122.46173460724371","37.727460590502375","6","2017"
"5201","26,491.00","626 Natoma Street","South of Market","-122.41060215326536","37.777944839415945","8","2020"
"5206","7,500.00","3661 19th Street","Mission","-122.42498699131392","37.75986466925699","9","2015"
"5210","5,000.00","3670 Mission Street","Bernal Heights","-122.42405879999389","37.73786170087264","6","2021"
"5216","20,000.00","356 Day Street","Noe Valley","-122.43007192316912","37.742720925969834","3","2021"
"5218","20,872.74","2222 Leavenworth Street","Russian Hill","-122.41782125589155","37.801516409956925","2","2018"
"5219","181,280.00","476 Pennsylvania Avenue","Potrero Hill","-122.39344445169498","37.76054034029763","11","2021"
"5220","37,500.00","2425 Buchanan Street","Pacific Heights","-122.43118956935857","37.792270273870336","2","2019"
"5222","2,500.00","205 09th Street","South of Market","-122.41301674638561","37.77490910710537","7","2016"
"5225","41,000.00","1773 la salle Avenue","Bayview Hunters Point","-122.39188597404606","37.738279580564786","8","2017"
"5226","16,000.00","2739 Hyde Street","Russian Hill","-122.4204939941841","37.80610437010563","9","2018"
"5227","38,798.97","801 Jones Street","Nob Hill","-122.41360616044781","37.7886878769414","1","2020"
"5230","245,000.00","766 hayes Street","Hayes Valley","-122.4289981773507","37.776149252619064","3","2022"
"5235","55,000.00","463 14th Street","Mission","-122.4235795429329","37.76803518096435","11","2020"
"5238","2,500.00","390 liberty Street","Castro/Upper Market","-122.42987366486933","37.757250895575055","5","2017"
"5239","100,000.00","3665 19th Street","Mission","-122.42507444153773","37.7598593827538","1","2020"
"5241","30,000.00","630 09th Avenue","Inner Richmond","-122.46715606251435","37.77648853146622","3","2016"
"5244","15,000.00","78 Buchanan Street","Hayes Valley","-122.42669997845705","37.770371267252145","7","2016"
