Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B192057,08/19/2019,11/05/2019,"130,000.00",,,2,1477 Guerrero Street,94110,9,Noe Valley,POINT (-122.42233572209612 37.74758093572055),100,83,9,2,22,22,7,7,2,"28,859",1,,,,83
B201088,07/16/2020,,,,,,634 Shotwell Street,94110,9,Mission,POINT (-122.41577070854602 37.75825127622944),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B181765,06/08/2018,,,,,,1269 Dolores Street,94110,8,Mission,POINT (-122.4247885082323 37.74912833927859),100,52,3,5,20,19,4,5,2,"28,859",1,,,,52
B211199,08/20/2021,08/20/2021,"450,000.00",,,2,365 Seneca Avenue,94112,11,Outer Mission,POINT (-122.44538246118047 37.721412174002474),100,80,9,1,28,25,7,6,9,"28,861",2,,,,80
B191777,07/31/2019,,,,,,24 Linda Street,94110,9,Mission,POINT (-122.42296945661214 37.76122020649196),100,37,3,5,20,19,4,5,2,"28,859",1,,,,37
B173119,12/18/2017,,,,,,2327 Larkin Street,94109,3,Russian Hill,POINT (-122.4207957405772 37.79926042618684),100,107,6,6,32,32,9,1,5,"28,858",1,,,,107
B180207,01/25/2018,03/19/2018,"9,995.00",,,2,263 19th Avenue,94121,1,Outer Richmond,POINT (-122.47854217619599 37.78302095630685),100,8,8,4,29,26,6,2,11,55,2,,,,8
B170867,03/31/2017,,,,,,54 Edgehill Way,94127,7,West of Twin Peaks,POINT (-122.46056237535751 37.74334259431898),100,49,10,8,41,40,8,4,1,59,1,,,,49
B201258,09/09/2020,04/20/2021,"62,060.00",,,4,492 15th Avenue,94118,1,Outer Richmond,POINT (-122.47382745616768 37.77885622034925),100,5,8,4,29,26,6,2,11,54,1,,,,5
B193066,11/25/2019,,,,,,1995 34th Avenue,94116,4,Sunset/Parkside,POINT (-122.49234343038046 37.74996252187295),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B211649,11/12/2021,03/21/2022,"42,730.38",,,2,2558 30th Avenue,94116,4,Sunset/Parkside,POINT (-122.48725017789741 37.7395866063618),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B163794,12/07/2016,01/25/2017,"30,000.00",,,5,137 Farallones Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.4571968951192 37.71404657625301),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B160221,01/25/2016,,,,,,3632 26th Street,94110,8,Mission,POINT (-122.42175962063662 37.74885465317911),100,53,3,5,20,19,4,5,2,"28,859",1,,,,53
B211205,08/24/2021,,,,,,2425 Polk Street,94109,3,Russian Hill,POINT (-122.4224390801918 37.799035906045695),100,107,4,6,32,32,9,1,13,"28,858",1,,,,107
B210300,02/26/2021,06/29/2021,"18,230.20",,,1,579 Monterey Boulevard,94127,7,West of Twin Peaks,POINT (-122.44838512706775 37.73148191564057),100,95,9,8,41,40,7,4,9,59,1,,,,95
B170638,03/15/2017,,,,,,574 CASTRO Street,94114,8,Castro/Upper Market,POINT (-122.43494107361725 37.75972977414575),100,38,3,5,5,3,4,5,2,"28,862",1,,,,38
B170764,03/23/2017,10/04/2018,"10,000.00",,,1,748 Page Street,94117,5,Haight Ashbury,POINT (-122.43310528898881 37.77275825536279),100,26,4,11,3,9,5,11,15,"29,492",1,,,,26
B172403,09/21/2017,,,,,,1235 Florida Street,94110,9,Mission,POINT (-122.40999031097746 37.75216549335101),100,53,3,2,20,19,4,7,2,"28,859",1,,,,53
B170541,03/02/2017,06/28/2017,"27,333.33",,,1,348 05th Avenue,94118,1,Inner Richmond,POINT (-122.46326111495453 37.78205393251588),100,5,8,4,11,11,6,2,11,54,1,,,,5
B221564,07/26/2022,,,,,,1604 Church Street,94131,8,Noe Valley,POINT (-122.42685600379697 37.745159777873205),100,84,9,5,22,22,7,5,2,63,1,,,,84
B152523,09/17/2015,12/28/2015,"40,082.70",,,1,347 Lexington Street,94110,9,Mission,POINT (-122.42040644954336 37.75779737025091),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B211902,12/13/2021,02/07/2022,"120,000.00",,,1,605 Arguello Boulevard,94118,1,Inner Richmond,POINT (-122.45876741927992 37.779175067515986),100,5,8,4,11,11,6,2,11,54,1,,,,5
B210702,05/18/2021,10/13/2021,"100,000.00",,true,2,3552 22nd Street,94114,8,Noe Valley,POINT (-122.42679940250119 37.75498526259876),100,52,3,5,22,22,4,5,2,"28,862",1,,,,52
B183228,11/27/2018,12/05/2018,"18,750.00",,true,2,138 Noe Street,94114,8,Castro/Upper Market,POINT (-122.43339998685751 37.76688391344324),100,28,7,5,5,3,5,5,15,"28,862",1,,,,28
B153393,12/11/2015,,,,,,907 Guerrero Street,94110,9,Mission,POINT (-122.4232552148507 37.756621005928736),100,52,3,5,20,19,4,5,2,"28,859",1,,,,52
B152719,10/05/2015,,,,,,1955 McAllister Street,94115,2,Lone Mountain/USF,POINT (-122.44422424462255 37.7770301902424),100,97,7,11,18,16,5,11,15,"29,492",1,,,,97
B220241,02/10/2022,,,,,,1075 South Van Ness Avenue,94110,9,Mission,POINT (-122.4165877505835 37.75601254417329),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B161384,,04/14/2016,"16,600.00",,,1,3278 21st Street,94110,9,Mission,POINT (-122.42069494583629 37.75696029169979),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B190880,04/19/2019,06/03/2019,"27,000.00",,,1,400 Page Street,94102,5,Hayes Valley,POINT (-122.42748812470028 37.77347284018968),100,26,4,11,9,10,9,11,7,"28,852",1,,,,26
B170736,03/21/2017,07/28/2017,"40,000.00",,,4,2643 Greenwich Street,94123,2,Marina,POINT (-122.44320764840424 37.79799706838647),100,14,4,6,13,17,9,1,13,57,1,,,,14
B183201,11/15/2018,,,,,,5607 California Street,94121,1,Outer Richmond,POINT (-122.47768557393384 37.78419296465136),100,5,8,4,29,26,6,2,11,55,1,,,,5
B220636,04/04/2022,,,,,,120 Dartmouth Street,94134,9,Portola,POINT (-122.41290898784486 37.72887348783908),100,91,2,2,25,28,3,7,9,309,2,,,,91
B152845,10/14/2015,,,,,,3631 Cesar Chavez Street,94110,9,Noe Valley,POINT (-122.4217775190861 37.74797952956098),100,83,3,2,22,22,4,7,2,"28,859",1,,,,83
B160841,03/03/2016,05/05/2016,"12,780.00",,,2,1367 16th Avenue,94122,7,Inner Sunset,POINT (-122.47387478370645 37.76248380359631),100,109,10,11,14,12,8,11,1,56,1,,,,109
B180891,03/19/2018,,,,,,450 Waller Street,94117,5,Hayes Valley,POINT (-122.43111566008885 37.77109884664714),100,26,7,11,9,10,9,11,15,"29,492",1,,,,26
B221729,08/23/2022,,,,,,1449 Willard Street,94117,8,Inner Sunset,POINT (-122.45415174318168 37.76336468302521),100,110,7,11,14,12,5,11,15,"29,492",1,,,,110
B190513,03/12/2019,03/06/2020,"100,000.00",,true,3,697 Rhode Island Street,94107,10,Potrero Hill,POINT (-122.4021933059256 37.76106988114212),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B153313,11/30/2015,,,,,,2822 Folsom Street,94110,9,Mission,POINT (-122.41409225821134 37.75209941172854),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B163634,11/18/2016,01/27/2017,"70,000.00",,,2,946 York Street,94110,9,Mission,POINT (-122.40862654691618 37.75689919122713),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B171847,07/17/2017,,,,,,93 06th Street,94103,6,South of Market,POINT (-122.40884438992185 37.78111183518817),100,32,5,10,34,34,2,9,14,"28,853",2,1,,1,32
B181427,05/08/2018,07/06/2018,"32,000.00",,,1,948 Huron Avenue,94112,11,Outer Mission,POINT (-122.45260250215551 37.70973246325865),100,66,9,1,28,25,7,6,9,"28,861",2,,,,66
B182913,10/16/2018,01/07/2019,"51,604.00",,,2,1542 46th Avenue,94122,4,Sunset/Parkside,POINT (-122.50571887407146 37.75775321123799),100,39,10,7,35,35,8,3,1,56,1,,,,39
B170070,01/11/2017,08/21/2017,"29,286.00",,,2,334 Alemany Boulevard,94110,9,Bernal Heights,POINT (-122.4119375506203 37.73426589630487),100,83,9,2,2,2,7,7,10,"28,859",1,,,,83
B211805,12/02/2021,,,,,,2288 Noriega Street,94122,4,Sunset/Parkside,POINT (-122.48807869148833 37.75376166727895),100,39,10,7,35,35,8,3,1,56,1,,,,39
B153074,11/06/2015,,,,,,1926 Ellis Street,94115,5,Western Addition,POINT (-122.43788965027808 37.78170423159964),100,97,4,11,39,41,5,11,15,"29,490",2,,,,97
B171232,05/09/2017,,,,,,3412 26th Street,94110,9,Mission,POINT (-122.4186126242238 37.749045148774215),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B192010,08/13/2019,,,,,,47 Bernard Street,94133,3,Nob Hill,POINT (-122.41423897693781 37.79640302337797),100,107,6,3,21,21,1,10,5,308,1,,,,107
B200097,01/16/2020,,,,,,424 Ellis Street,94102,5,Tenderloin,POINT (-122.41325965158892 37.7848310625131),100,20,5,10,36,36,10,9,7,"28,852",2,1,,,20
B172792,11/01/2017,,,,,,339 Lyon Street,94117,5,Lone Mountain/USF,POINT (-122.44268942514532 37.77380722840316),100,24,7,11,18,16,5,11,15,"29,492",1,,,,24
B210869,06/21/2021,,,,,,3058 Cesar Chavez Street,94110,9,Mission,POINT (-122.41090516345638 37.74838833060746),100,53,3,2,20,19,4,7,2,"28,859",1,,,,53
B220972,05/16/2022,,,,,,1575 Palou Avenue,94124,10,Bayview Hunters Point,POINT (-122.39048038840869 37.733701959460404),100,86,2,9,1,1,3,8,10,58,2,,,,86
B161409,,04/22/2016,"27,500.00",,true,1,59 KISSLING Street,94103,6,South of Market,POINT (-122.41473306221336 37.77283915967019),100,32,1,10,34,34,2,9,8,"28,853",2,,,1,32
B211360,09/29/2021,,,,,,33 Castillo Street,94134,10,Visitacion Valley,POINT (-122.41781793877784 37.709064308413545),100,74,9,9,40,39,7,8,9,309,2,,,,74
B190034,01/08/2019,,,,,,1157 Broadway Street,94109,3,Nob Hill,POINT (-122.41612561312165 37.796665476562666),90.92,107,6,3,21,21,1,10,5,"28,858",1,,,,107
B211800,11/29/2021,02/14/2022,"18,995.00",,,2,121 Santa Marina Street,94110,9,Bernal Heights,POINT (-122.42077786891521 37.73972866986419),100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B151293,05/20/2015,,,,,,756 Lake Street,94118,1,Inner Richmond,POINT (-122.46743954317164 37.786586505390005),100,4,8,6,11,11,6,1,11,54,1,,,,4
B201596,11/04/2020,,,,,,2030 47th Avenue,94116,4,Sunset/Parkside,POINT (-122.50615512927077 37.74858720307091),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B191517,06/25/2019,11/22/2019,"9,500.00",,,1,150 London Street,94112,11,Excelsior,POINT (-122.43236441240242 37.726596549797804),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B160081,01/08/2016,,,,,,651 04th Avenue,94118,1,Inner Richmond,POINT (-122.46184680979982 37.77638580220466),100,5,8,4,11,11,6,2,11,54,1,,,,5
B161597,05/10/2016,,,,,,418 Lombard Street,94133,3,North Beach,POINT (-122.4085298646768 37.80341959249107),100,106,6,3,23,23,1,10,3,308,1,,,,106
B210723,05/28/2021,08/09/2021,"22,242.00",,,3,1245 Grove Street,94117,5,Hayes Valley,POINT (-122.4370879772931 37.77601925985396),100,23,4,11,9,10,5,11,15,"29,492",1,,,,23
B191190,05/29/2019,,,,,,2131 Pine Street,94115,5,Pacific Heights,POINT (-122.43091153482902 37.78827699388101),100,101,4,11,30,27,9,11,13,"29,490",1,,,,101
B200557,03/06/2020,,,,,,1225 31st Avenue,94122,4,Sunset/Parkside,POINT (-122.49012782233031 37.76437643234406),100,39,10,7,35,35,8,3,1,56,1,,,,39
B182263,07/20/2018,,,,,,1290 Grove Street,94117,5,Hayes Valley,POINT (-122.43777819517838 37.77598629937515),100,23,4,11,9,10,5,11,15,"29,492",1,,,,23
B160990,03/08/2016,01/26/2017,"25,000.00",,,1,2519 Lake Street,94121,1,Outer Richmond,POINT (-122.48650194829388 37.78566295428328),100,2,8,6,29,26,6,1,11,55,2,,,,2
B180501,02/14/2018,,,,,,449 14th Avenue,94118,1,Outer Richmond,POINT (-122.4728247159949 37.779688574635315),100,5,8,4,29,26,6,2,11,54,1,,,,5
B210515,04/08/2021,08/06/2021,"20,000.00",,,2,363 Monticello Street,94132,11,Oceanview/Merced/Ingleside,POINT (-122.47081601930316 37.7208866272927),100,64,10,1,24,24,8,6,9,64,2,,,,64
B221546,07/19/2022,,,,,,1231 De Haro Street,94107,10,Potrero Hill,POINT (-122.400563958667 37.7542048749448),100,54,2,9,26,29,3,8,10,"28,856",2,,,,54
B201840,12/21/2020,,,,,,2727 41st Avenue,94116,4,Sunset/Parkside,POINT (-122.49887669914865 37.73585683032191),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B153382,,12/02/2015,"41,979.86",,true,1,235 Corbett Avenue,94114,8,Castro/Upper Market,POINT (-122.44350908260509 37.761437824154484),100,115,7,5,5,3,5,5,15,"28,862",1,,,,115
B151196,05/14/2015,10/21/2015,"42,500.00",,,2,1355 20th Avenue,94122,4,Sunset/Parkside,POINT (-122.47816768162355 37.762501615604485),100,39,10,7,35,35,8,3,1,56,1,,,,39
B181856,06/19/2018,09/10/2018,"36,000.00",,,2,4 College Terrace,94112,8,Bernal Heights,POINT (-122.42588445887992 37.73437047278407),100,93,9,5,2,2,7,5,2,"28,861",1,,7,,93
B170157,01/23/2017,03/20/2017,"38,504.00",,true,2,2315 Balboa Street,94121,1,Outer Richmond,POINT (-122.48363527365183 37.77631828868071),100,8,8,4,29,26,6,2,11,55,1,,,,8
B172722,10/27/2017,,,,,,1955 Taylor Street,94133,3,Russian Hill,POINT (-122.41429463427902 37.80047053360637),100,107,6,3,32,32,1,10,5,308,1,,,,107
B210464,04/05/2021,,,,,,2040 Fell Street,94117,5,Lone Mountain/USF,POINT (-122.45149882532642 37.77231014684246),100,24,7,11,18,16,5,11,15,"29,492",1,,,,24
B211101,07/29/2021,,,,,,2850 25th Street,94110,9,Mission,POINT (-122.40736385639212 37.75132968840389),100,53,3,2,20,19,4,7,2,"28,859",1,,,,53
B162061,06/16/2016,08/08/2016,"18,000.00",,,1,2105 Ellis Street,94115,2,Western Addition,POINT (-122.44091685868246 37.781271503203186),100,13,7,6,39,41,5,1,15,"29,490",2,,,,13
B220748,04/26/2022,,,,,,224 29th Street,94131,8,Noe Valley,POINT (-122.42501811196179 37.743832662173496),100,84,9,5,22,22,7,5,2,63,1,,,,84
B162293,07/11/2016,,,,,,1966 15th Street,94114,8,Castro/Upper Market,POINT (-122.42818708721164 37.76620108979294),100,37,3,5,5,3,4,5,8,"28,862",1,,,,37
B201604,,11/12/2020,"3,400.00",,,1,226 06th Street,94103,6,South of Market,POINT (-122.40679509490461 37.77940399045977),100,32,1,10,34,34,2,9,14,"28,853",2,,,1,32
B171597,,06/16/2017,"37,500.00",,,5,135 Farallones Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45714083135583 37.71404698057188),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B193176,12/02/2019,,,,,,160 Sickles Avenue,94112,11,Outer Mission,POINT (-122.45406051470533 37.70985016977066),100,66,9,1,28,25,7,6,9,"28,861",2,,,,66
B170630,03/10/2017,04/26/2017,"10,000.00",,,2,107 buena vista Terrace,94117,8,Castro/Upper Market,POINT (-122.43816645569106 37.767034756222145),100,113,7,5,5,3,5,5,15,"28,862",1,,,,113
B201842,12/22/2020,,,,,,2262 45th Avenue,94116,4,Sunset/Parkside,POINT (-122.50371024860495 37.74440407329352),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B211282,09/07/2021,10/27/2021,"92,000.00",,,1,1674 Washington Street,94109,3,Russian Hill,POINT (-122.42078707037389 37.793347950518154),100,105,4,3,32,32,9,10,13,"28,858",1,,,,105
B163174,10/03/2016,,,,,,2044 Powell Street,94133,3,North Beach,POINT (-122.41145653216344 37.80346966963025),100,106,6,3,23,23,1,10,3,308,1,,,,106
B211113,07/30/2021,03/30/2022,"65,000.00",,,2,43 Carr Street,94124,10,Bayview Hunters Point,POINT (-122.39688785000851 37.72188391070998),100,88,2,9,1,1,3,8,10,58,2,,,,88
B153385,12/08/2015,03/22/2016,"32,000.00",,,1,1369 29th Avenue,94122,4,Sunset/Parkside,POINT (-122.4877977907159 37.76183664460813),100,39,10,7,35,35,8,3,1,56,1,,,,39
B200136,01/21/2020,04/08/2020,"75,000.00",,true,3,2055 42nd Avenue,94116,4,Sunset/Parkside,POINT (-122.50083299253895 37.74840837771303),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B182190,07/19/2018,,,,,,1637 Sacramento Street,94109,3,Nob Hill,POINT (-122.41986601641044 37.791602049203235),100,105,4,3,21,21,9,10,13,"28,858",1,,,,105
B172077,08/14/2017,,,,,,4024 24th Street,94114,8,Noe Valley,POINT (-122.43249212747935 37.75143290140544),100,84,3,5,22,22,4,5,2,"28,862",1,,,,84
B201107,07/29/2020,,,,,,72 Camellia Avenue,94112,11,Outer Mission,POINT (-122.43201826142318 37.72959606623383),100,94,9,1,28,25,7,6,9,"28,861",1,,,,94
B161093,03/17/2016,,,,,,106 South Park Street,94110,9,Bernal Heights,POINT (-122.42340064599622 37.73662928143142),92.43,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B182587,08/31/2018,,,,,,714 Monterey Boulevard,94127,7,West of Twin Peaks,POINT (-122.45155648601943 37.731605565269376),100,95,9,8,41,40,7,4,9,59,1,,,,95
B151902,07/17/2015,02/05/2016,"50,361.14",,,2,392 CApp Street,94110,9,Mission,POINT (-122.41818220877859 37.76048079027531),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B161295,04/05/2016,11/16/2016,"43,300.00",,,2,2271 25th Avenue,94116,4,Sunset/Parkside,POINT (-122.48233883374088 37.745208062215454),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B180912,03/23/2018,07/09/2018,"72,400.00",,true,3,1337 05th Avenue,94122,7,Inner Sunset,POINT (-122.46202834766802 37.763520379853965),100,109,7,11,14,12,5,11,1,56,1,,,,109
B163855,12/15/2016,,,,,,459 14th Street,94103,9,Mission,POINT (-122.42349847528678 37.7680400638208),100,37,3,5,20,19,4,5,8,"28,853",2,,,,37
B171922,07/26/2017,,,,,,401 Parker Avenue,94118,1,Lone Mountain/USF,POINT (-122.4536974008797 37.77896621277181),100,12,7,4,18,16,6,2,15,54,1,,,,12
B171353,05/22/2017,,,,,,533 Clayton Street,94117,5,Haight Ashbury,POINT (-122.4487467507313 37.77039600462431),100,25,7,11,3,9,5,11,15,"29,492",1,,,,25
B191494,06/21/2019,,,,,,113 Precita Avenue,94110,9,Bernal Heights,POINT (-122.41797379230313 37.746853410243155),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B170079,01/17/2017,04/04/2017,"36,000.00",,,1,1980 Fell Street,94117,5,Lone Mountain/USF,POINT (-122.45043260703846 37.77244720334593),100,24,7,11,18,16,5,11,15,"29,492",1,,,,24
B182653,09/20/2018,10/26/2018,"12,000.00",,,1,625 Guerrero Street,94110,9,Mission,POINT (-122.42368831328488 37.76114100362796),100,37,3,5,20,19,4,5,2,"28,859",1,,,,37
B180304,01/31/2018,,,,,,1051 Post Street,94109,3,Tenderloin,POINT (-122.41912192141453 37.78690913661444),100,50,4,10,36,36,9,9,13,"28,858",2,,,,50
B151441,06/09/2015,,,,,,61 Montezuma Street,94110,9,Bernal Heights,POINT (-122.41607525394092 37.74601142095262),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B211345,09/21/2021,01/10/2022,"21,500.00",,true,1,8139 Geary Boulevard,94121,1,Outer Richmond,POINT (-122.50661596603942 37.779068891373065),100,6,8,4,29,26,6,2,11,55,1,,,,6
B190898,04/29/2019,08/01/2019,"61,000.00",,,1,3234 Washington Street,94115,2,Presidio Heights,POINT (-122.44647122394029 37.79008419802095),100,10,8,6,31,31,6,1,13,"29,490",1,,,,10
B201853,09/09/2020,11/11/2020,"8,000.00",,,1,2731 38th Avenue,94116,4,Sunset/Parkside,POINT (-122.49566485136046 37.735960342698235),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B201795,12/09/2020,,,,,,1388 31st Avenue,94122,4,Sunset/Parkside,POINT (-122.48985088804861 37.761401996222716),100,39,10,7,35,35,8,3,1,56,1,,,,39
B220403,02/28/2022,04/29/2022,"30,000.00",,,1,1204 Vermont Street,94110,10,Mission,POINT (-122.40355787094998 37.75432221501816),100,54,3,9,20,19,4,8,10,"28,859",1,,,,54
B170234,02/03/2017,,,,,,95 Grand View Avenue,94114,8,Twin Peaks,POINT (-122.4402059563872 37.75656555683297),100,115,3,5,38,38,4,5,2,"28,862",1,,,,115
B191181,05/24/2019,,,,,,433 Upper Terrace,94117,8,Haight Ashbury,POINT (-122.44545325434486 37.763496806335326),100,112,7,5,3,9,5,5,15,"29,492",1,,,,112
B210608,04/27/2021,07/16/2021,"73,520.21",,,2,3241 Taraval Street,94116,4,Sunset/Parkside,POINT (-122.50080174028894 37.74191597726884),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B221130,05/20/2022,,,,,,830 Fillmore Street,94117,5,Hayes Valley,POINT (-122.43142922486899 37.77709123303023),100,22,4,11,9,10,9,11,7,"29,492",1,,,,22
B200618,04/13/2020,,,,,,2926 25th Street,94110,9,Mission,POINT (-122.40863030535063 37.7512543182487),100,53,3,2,20,19,4,7,2,"28,859",1,,,,53
B190572,03/19/2019,06/04/2019,"15,000.00",,true,1,2200 Larkin Street,94109,3,Russian Hill,POINT (-122.42049865658565 37.798131632694584),100,107,6,3,32,32,9,10,5,"28,858",1,,,,107
B180916,,03/23/2018,"20,833.33",,,2,2874 16th Street,94103,9,Mission,POINT (-122.41693388458614 37.765249358421045),100,53,3,2,20,19,4,7,8,"28,853",2,,,,53
B171166,05/04/2017,,,,,,1450 Broadway Street,94109,3,Russian Hill,POINT (-122.42097729190432 37.79611128939251),90.92,105,4,3,32,32,9,10,13,"28,858",1,,,,105
B161224,03/28/2016,,,,,,1266 Union Street,94109,3,Russian Hill,POINT (-122.42022081260511 37.7990862905404),100,107,6,6,32,32,1,1,5,"28,858",1,,,,107
B162465,07/25/2016,,,,,,103 22nd Avenue,94121,1,Outer Richmond,POINT (-122.48196719713604 37.78576362962582),100,2,8,4,29,26,6,2,11,55,2,,,,2
B211288,,09/10/2021,"75,000.00",,,3,1543 17th Avenue,94122,7,Inner Sunset,POINT (-122.47471466842921 37.75911805888186),100,44,10,8,14,12,8,4,1,56,1,,,,44
B183392,12/18/2018,01/08/2019,"25,000.00",,,1,205 Summit Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45425774173044 37.716968767040505),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B192948,10/22/2019,,,,,,905 Russia Avenue,94112,11,Excelsior,POINT (-122.42985151838556 37.718117222643805),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B210327,03/11/2021,,,,,,173 Parker Avenue,94118,2,Presidio Heights,POINT (-122.45436036938575 37.78228514716321),100,11,8,6,31,31,6,1,11,54,1,,,,11
B211790,11/22/2021,,,,,,2845 Turk Street,94118,1,Lone Mountain/USF,POINT (-122.45227154923974 37.7779391024487),90.92,12,7,4,18,16,6,2,15,54,1,,,,12
B182282,07/23/2018,,,,,,1571 Sacramento Street,94109,3,Nob Hill,POINT (-122.41871288602611 37.791751239291216),100,16,6,3,21,21,1,10,5,"28,858",1,,,,16
B191738,07/18/2019,,,,,,40 Parsons Street,94118,1,Lone Mountain/USF,POINT (-122.45540926971223 37.77522749151937),100,12,8,4,18,16,6,2,11,54,1,,,,12
B153503,12/30/2015,,,,,,524 Faxon Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.46021093830112 37.723968113726215),100,64,10,8,24,24,8,4,9,"28,861",2,,,,64
B221203,06/09/2022,,,,,,522 Vermont Street,94107,10,Potrero Hill,POINT (-122.40438913726535 37.76305037272286),100,54,2,9,26,29,3,8,8,"28,856",1,,,,54
B211480,10/05/2021,02/15/2022,"110,000.00",,,2,532 46th Avenue,94121,1,Outer Richmond,POINT (-122.50716484172985 37.77841029371836),100,6,8,4,29,26,6,2,11,55,1,,,,6
B180641,03/02/2018,,,,,,1640 Plymouth Avenue,94127,7,West of Twin Peaks,POINT (-122.45760711955859 37.73193434210653),100,70,9,8,41,40,7,4,9,59,1,,,,70
B173149,12/26/2017,,,,,,246 Thrift Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.46082013008471 37.717470388767275),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B162927,09/15/2016,12/08/2016,"30,000.00",,,8,712 Brazil Avenue,94112,11,Excelsior,POINT (-122.42910678013716 37.721924744383095),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B200588,03/27/2020,,,,,,841 Central Avenue,94115,2,Lone Mountain/USF,POINT (-122.44509397752272 37.777353751697),100,97,7,11,18,16,5,11,15,54,1,,,,97
B182613,09/10/2018,11/26/2018,"72,581.00",,,5,2818 Harrison Street,94110,9,Mission,POINT (-122.41191329275517 37.75228173172364),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B200975,07/08/2020,10/15/2020,"15,000.00",,,1,1045 Leavenworth Street,94109,3,Nob Hill,POINT (-122.41569356853019 37.79069150434605),100,16,6,3,21,21,1,10,13,"28,858",1,,,,16
B220246,02/14/2022,,,,,,421 41st Avenue,94121,1,Outer Richmond,POINT (-122.50202403090906 37.78074743713106),100,8,8,4,29,26,6,2,11,55,1,,,,8
B172005,08/07/2017,,,,,,1309 Palou Avenue,94124,10,Bayview Hunters Point,POINT (-122.38555065071192 37.73090467268512),100,86,2,9,1,1,3,8,10,58,2,,,,86
B193191,12/09/2019,,,,,,689 Fell Street,94102,5,Hayes Valley,POINT (-122.42911698632004 37.77512166270391),100,22,4,11,9,10,9,11,7,"28,852",1,,,,22
B200450,02/25/2020,,,,,,187 Bocana Street,94110,9,Bernal Heights,POINT (-122.41750925328793 37.74093585881741),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B170746,03/22/2017,,,,,,2942 Franklin Street,94123,2,Marina,POINT (-122.4262467512008 37.80153585317077),100,17,4,6,13,17,9,1,13,57,1,,,,17
B181299,04/24/2018,05/16/2018,"66,352.50",,,1,1353 Stevenson Street,94103,6,Mission,POINT (-122.42163983156524 37.7707395060669),100,32,1,10,20,19,2,9,8,"28,853",2,,,,32
B182580,08/29/2018,,,,,,2237 Bay Street,94123,2,Marina,POINT (-122.44363240889074 37.801765596022996),100,17,4,6,13,17,9,1,13,57,1,,,,17
B201295,09/11/2020,,,,,,116 Coleridge Street,94110,9,Bernal Heights,POINT (-122.41970312915237 37.74381934916349),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B170646,03/17/2017,,,,,,633 Oak Street,94117,5,Hayes Valley,POINT (-122.42976266490139 37.7740865287349),100,26,4,11,9,10,9,11,7,"29,492",1,,,,26
B172804,11/07/2017,06/27/2018,"64,077.78",,,2,9 Vasquez Avenue,94127,7,West of Twin Peaks,POINT (-122.45723164492014 37.74645915502083),100,49,7,8,41,40,5,4,1,59,1,,,,49
