Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B210800,06/08/2021,08/31/2021,"10,000.00",,true,1,409 Lawton Street,94122,7,Inner Sunset,POINT (-122.46718592830128 37.75836762001209),100,44,10,8,14,12,8,4,1,56,1,,,,44
B201098,07/22/2020,10/06/2020,"35,000.00",,,2,30 Paulding Street,94112,11,Outer Mission,POINT (-122.44175265570658 37.727751878347895),100,94,9,1,28,25,7,6,9,"28,861",1,,,,94
B181225,04/18/2018,,,,,,12 Chenery Street,94131,8,Glen Park,POINT (-122.42582902643123 37.74182791307734),100,59,9,5,10,7,7,5,2,63,1,,,,59
B210711,05/24/2021,10/13/2021,"65,000.00",,,2,1026 Wawona Street,94116,4,Sunset/Parkside,POINT (-122.47779242639385 37.737377169607264),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B163720,11/29/2016,,,,,,278 Francisco Street,94133,3,North Beach,POINT (-122.40977349055493 37.805177453940026),100,99,6,3,23,23,1,10,3,308,2,,,,99
B170760,02/27/2017,08/03/2018,"55,476.70",,true,1,1969 San Jose Avenue,94112,11,Outer Mission,POINT (-122.44254576205584 37.72557678825886),100,94,9,1,28,25,7,6,9,"28,861",1,,,,94
B161398,04/18/2016,,,,,,72 Manzanita Avenue,94118,2,Presidio Heights,POINT (-122.45103260305545 37.784785819827455),100,11,8,6,31,31,6,1,15,54,1,,,,11
B171223,05/08/2017,,,,,,1340 Stevenson Street,94103,6,Mission,POINT (-122.4217258535715 37.77092451500161),100,32,1,10,20,19,2,9,8,"28,853",2,,,,32
B220022,01/12/2022,,,,,,4315 Lincoln Way,94122,4,Sunset/Parkside,POINT (-122.50428657573305 37.764197059341804),100,39,10,7,35,35,8,3,1,56,1,,,,39
B221871,09/15/2022,,,,,,1191 Hollister Avenue,94124,10,Bayview Hunters Point,POINT (-122.39409201299327 37.72065411211032),100,88,2,9,1,1,3,8,10,58,2,,,,88
B200583,03/19/2020,03/19/2020,"65,000.00",,,2,1385 Hampshire Street,94110,9,Mission,POINT (-122.40702155863829 37.75030259699664),100,53,3,2,20,19,4,7,10,"28,859",1,,,,53
B180663,03/06/2018,11/27/2018,"50,001.00",,,3,2450 30th Avenue,94116,4,Sunset/Parkside,POINT (-122.48738944753276 37.74158692780264),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B210107,,02/03/2021,"100,000.00",,,2,449 Prentiss Street,94110,9,Bernal Heights,POINT (-122.41216056254301 37.737635863691956),100,83,9,2,2,2,7,7,10,"28,859",1,,,,83
B211138,08/13/2021,11/04/2021,"30,000.00",,,2,2332 22nd Avenue,94116,4,Sunset/Parkside,POINT (-122.47896973335699 37.7441411158337),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B210034,01/11/2021,,,,,,914 Cabrillo Street,94118,1,Inner Richmond,POINT (-122.46840719350983 37.775195299805226),100,5,8,4,11,11,6,2,11,54,1,,,,5
B170824,03/28/2017,,,,,,120 Ellis Street,94102,3,Tenderloin,POINT (-122.4082291970915 37.785477781579594),100,19,5,3,36,36,10,10,14,"28,852",2,1,,,19
B210593,04/23/2021,10/01/2021,"60,000.00",,,2,521 08th Avenue,94118,1,Inner Richmond,POINT (-122.46630403466965 37.778565006798814),100,5,8,4,11,11,6,2,11,54,1,,,,5
